sidebar|zone|component|sub_component|gate_flag|code_status|pipeline-static|pipeline-exploration-simple|pipeline-exploration-advanced|project-independent|developer|testing_notes|desired_change
LEFT|Nav Pills|Home tab||always_on|IMPLEMENTED|SHOW|SHOW|SHOW|SHOW|SHOW||Always visible — no change needed
LEFT|Nav Pills|Blueprint Architect tab||wrangle_studio_enabled|IMPLEMENTED|HIDE|SHOW|SHOW|SHOW|SHOW||OK — bootloader.is_enabled() used correctly
LEFT|Nav Pills|Dev Studio tab||developer_mode_enabled|IMPLEMENTED|HIDE|HIDE|HIDE|HIDE|SHOW||Rename:  should have the meaning of “Mock data generator” can we find a shorter name ? 
LEFT|Nav Pills|Gallery tab||gallery_enabled|IMPLEMENTED|HIDE|HIDE|HIDE|HIDE|SHOW|BUG: Gallery always visible on single persona — either config wrong or conditional rendering broken (UI_user_test §Part4)|Fix config or gate check; test with pipeline-static and pipeline-exploration-simple — should be HIDE. Project Independant should be able to see the Gallery (change in persona config and in my cheatsheet)
LEFT|Accordion > Project Navigator|Project selector (project_id)||always_on|IMPLEMENTED|SHOW|SHOW|SHOW|SHOW|SHOW|NOTE: currently named 'Project Navigator' but it is actually a manifest navigator (selects a project manifest, not raw data location)|RENAME label to 'ManifestNavigator' or maybe better ? ‘Manifest Choice’. Male HIDE that can be configured in the persona configuration. When hidden One manifest must be chosen: project fixed by config. This will be used for all pipelines Persona. User should not be able to see nor switch the Manifest Navigator in pipeline persona. 
LEFT|Accordion > Data Navigator (PROPOSED NEW)|Data location / directory selector||always_on|MISSING|SHOW|SHOW|SHOW|SHOW|SHOW|Not yet built. Eve notes: add a Data Navigator available to all personas for ingestion — distinct from the manifest/project selector.|Build new accordion panel 'Data Import': allows user to set/override data input directory or select individual files. Need to be able to add as many data as required by Manifest selected (data, metadata, additional data). Visible all personas. Note that the data specified are for testing purpose only. That was a shortcut to be able to go faster with testing. We will need to find a solution for that. In production setting, The user will have to choose which data it needs to use OR they will be passed directly when used in pipeline mode (eg. new data produced by pipeline) we will have to find a solution for that. I suggest we add a testing mode field in the persona configuration files, so when in testing mode it use the default data of the pipeline manifest, when in production mode, the data must be passed – either automatically by the pipeline OR chosen by the user
LEFT|Accordion > Data Navigator (PROPOSED NEW)|Manifest ingestion (upload YAML)||metadata_ingestion_enabled / import_helper_enabled|MISSING|HIDE|HIDE|SHOW|SHOW|SHOW|Currently manifest upload is buried in Blueprint Architect sidebar (wrangle_studio mode). Eve wants it closer to the project selector for advanced personas.|I think this becomes irrelevant : see above. Move or duplicate manifest upload into Data Navigator for advanced+. Gate on metadata_ingestion_enabled. Should allow manifest ingestion (eg. by choosing manifest location – eg developer mode)
LEFT|Accordion > Data Navigator (PROPOSED NEW)|Test data on/off toggle (use manifest default vs user-selected data)||always_on|MISSING|SHOW|SHOW|SHOW|SHOW|SHOW|Eve notes: config file should be able to point to default test data (on/off). When off: user must select data directory/files.|I think that should be irrelevant now – Because the choice of manifest possibility will be determined at the personal config level and if testing or production mode is enabled. Add toggle: 'Use test data from manifest (on/off)'. When off: file/directory selector becomes active.
LEFT|Accordion > Filters|Pending filter rows (read-only list)||always_on|IMPLEMENTED|SHOW|SHOW|SHOW|SHOW|SHOW|OK|No change needed — passive display is correct for all personas
LEFT|Accordion > Filters|Filter form (column / op / value)||interactivity_enabled|NOT_GATED|SHOW*|SHOW|SHOW|SHOW|SHOW|pipeline-static has interactivity_enabled=false but code does NOT check this flag → full interactive form shown. BUG.|Hide for full form for pipeline-static. For pipeline-exploration-simple Filters must been shown but there is a  read-only message (e.g. 'Filters are for exploration only. No data nor plot will be changed’). Ability on/off set by the persona configuration file. 
LEFT|Accordion > Filters|Add Row button||interactivity_enabled|NOT_GATED|SHOW*|SHOW|SHOW|SHOW|SHOW|Same bug as above — Add Row shows for pipeline-static|Hide for pipeline-static
LEFT|Accordion > Filters|Apply Button||interactivity_enabled|NOT_GATED|SHOW*|SHOW|SHOW|SHOW|SHOW|Same bug|Hide for pipeline-static (it was component Apply / Audit button). Here apply and Audit button have different functionalities. Apply will allow exploration of data – but does not generate modification to the data or plots
LEFT|Accordion > Filters|Audit button||||||||||Audit button : allows to send the Apply steps into the Audit (T3) – Only visible and activated when T3 audit is activated
LEFT|Accordion > Filters|Reset button||interactivity_enabled|NOT_GATED|SHOW*|SHOW|SHOW|SHOW|SHOW|Same bug|Hide for pipeline-static. Visible only when Passive or Active Audit exploration and filtering is authorized. I believe to think we need to have An other column in the persona capability matrix (Passive exploration: Passive filter and column drop that are done to allow the user explore the data to understand the graphs but without modification) – Then the reset button is only useful if exploration is allowed (passive and active (T3 audit))
LEFT|Accordion > Filters|Remove row button (✕)||interactivity_enabled|IMPLEMENTED|SHOW*|SHOW|SHOW|SHOW|SHOW|Eve: homogenise — use trash/bin icon 🗑 instead of ✕ to match the audit pipeline (UI_user_test §pipeline audit)|Replace ✕ with 🗑 trash icon — same style as right sidebar audit node delete button. Remove button visible hide should follow the filters usage
LEFT|Accordion > System Tools|||||||||||I think System tools should be split in different components, to make it easier to show (active) / hide (inactive) following the persona configuration and allowed functionalities. I made the split bellow
LEFT|Accordion > Global Project Export|Bundle name field||export_bundle_enabled|NOT_GATED|SHOW*|SHOW*|SHOW|SHOW|SHOW|Current label: 'Your name (no spaces)…'. Eve: rename label + add hover tooltip explaining naming requirements.|Promote to same level as system tools : ‘Global Project Export’. Visible and active for all persona. Export naming (no spaces, no special chars)'. Add hover/tooltip: 'Used in the exported filename. Letters, numbers, hyphens and underscores only.'
LEFT|Accordion > Global Project Export|Preset selector (Web vs Publication)||export_bundle_enabled|NOT_GATED|SHOW*|SHOW*|SHOW|SHOW|SHOW|Eve: overlap with Export Active Graph selector — UI spacing too tight (UI_user_test §left sidebar). Also wants DPI info visible.|Preset for ‘Global Project Export’ Ensure that the spacing between text is good. Choose Export quality (using selector – need to find good choices): small hover to guide the user: '300 DPI recommended for presentations; ≥600 DPI for journal figures'.
LEFT|Accordion > Global Project Export|Plot format selector (SVG / PNG / PDF)||export_bundle_enabled|MISSING|HIDE|HIDE|SHOW|SHOW|SHOW|Eve wants a plot format selector — default PNG (users understand PNG). SVG for web/interactive; PDF for LaTeX pipelines (UI_user_test §1 Export bundle).|Goes with ‘Global Project Export’. Add radio or select: 'Plot format: PNG (default) / SVG / PDF'. Note all persona Must have the ‘Global Project Export’. Activated.
LEFT|Accordion > Global Project Export|Audit report format selector (HTML / PDF / DOCX)||export_bundle_enabled|PARTIAL|HIDE|HIDE|SHOW|SHOW|SHOW|Currently separate buttons for HTML and Pandoc PDF/DOCX. Eve wants a single format selector then one Export button (UI_user_test §1 Export bundle).|Goes with ‘Global Project Export’. Format selector for report:  (HTML / PDF / DOCX).  We had PDF/DOCX disabled if Pandoc not available (show tooltip). Can’t we ensure that those tools are available, or otherwise use a python library, quarto, to do so?  To ensure that this is always possible ? 
LEFT|Accordion > Global Project Export|Export Bundle download button||export_bundle_enabled|NOT_GATED|SHOW*|SHOW*|SHOW|SHOW|SHOW|export_bundle_enabled=true in templates for static+simple but code does not check flag. BUG — shows to all.|Goes with ‘Global Project Export’.  Download button, allow selecting dowloading location (following local pc / access location defined in connector/persona configuations). Should always be enabled. 
LEFT|Accordion > System Tools|||||||||||Here splitting to the ‘Session Management’. Only visible and active defined by persona configuration. Not visible for persona who do not allow T3 audit (because then no need)
LEFT|Accordion > Session Management|Session import (.zip upload)||session_management_enabled|HARDCODED_WRONG|HIDE|HIDE*|SHOW|SHOW|SHOW|BUG: template says pipeline-exploration-simple should have session_management_enabled=true but hardcoded check hides it (PERSONA-1). Eve also noted: we have import but NO export of .zip session (UI_user_test §left sidebar).|possibility to import previous session (including hash for data and manifest!)
LEFT|Accordion > Session Management|Session export (.zip download)||session_management_enabled|MISSING|HIDE|HIDE*|SHOW|SHOW|SHOW|Not implemented. Only import exists. Eve: 'We have an import .zip session but not export a .zip session' (UI_user_test §left sidebar).|possibility to export previous session (must include state, including hash for data and manifest) 
LEFT|Accordion > System Tools — Data Ingestion|||||||||||I think data injestion should be done by the Data Navigator 
LEFT|Accordion > Data Navigator (PROPOSED NEW)|Metadata ingestion (replacement TSV upload)||metadata_ingestion_enabled|NOT_GATED|SHOW*|SHOW*|SHOW*|SHOW|SHOW|No is_enabled check — shows to all. Deferred Phase 22.|Metadata ingestion must be able to be activated / turned off by persona config. Eg. hidden for pipeline-static and pipeline-exploration simple. Activated when T3 audit active
