id	amr_class	mic_value	species
REC_000	Fluoroquinolone	63.46960633880225	E. coli
REC_001	Tetracycline	83.37503727457053	K. pneumoniae
REC_002	Tetracycline	74.43636962909159	P. aeruginosa
REC_003	Aminoglycoside	39.60036460048074	S. aureus
REC_004	Tetracycline	83.1885104325323	P. aeruginosa
REC_005	Beta-lactam	94.85075297498169	P. aeruginosa
REC_006	Tetracycline	82.37196907777621	E. coli
REC_007	Beta-lactam	120.7245224917458	K. pneumoniae
REC_008	Beta-lactam	69.2902508166061	S. aureus
REC_009	Tetracycline	126.49378376475158	K. pneumoniae
REC_010	Aminoglycoside	87.24863190180155	K. pneumoniae
REC_011	Fluoroquinolone	47.61952420709646	S. aureus
REC_012	Fluoroquinolone	18.905613874661867	K. pneumoniae
REC_013	Fluoroquinolone	14.13475707010034	K. pneumoniae
REC_014	Aminoglycoside	86.3725087736948	P. aeruginosa
REC_015	Tetracycline	17.664449176381257	S. aureus
REC_016	Beta-lactam	97.77470973574098	E. coli
REC_017	Tetracycline	54.74301790329319	E. coli
REC_018	Fluoroquinolone	59.3988236887743	K. pneumoniae
REC_019	Fluoroquinolone	82.29839519230865	K. pneumoniae
REC_020	Beta-lactam	35.95531931126355	P. aeruginosa
REC_021	Fluoroquinolone	18.441255214936437	S. aureus
REC_022	Fluoroquinolone	3.569342217068651	P. aeruginosa
REC_023	Fluoroquinolone	34.24391729114238	P. aeruginosa
REC_024	Tetracycline	85.48905216895713	P. aeruginosa
REC_025	Tetracycline	104.27427183036852	E. coli
REC_026	Tetracycline	115.08691816347259	K. pneumoniae
REC_027	Tetracycline	63.67114343734302	E. coli
REC_028	Beta-lactam	40.67387174496887	K. pneumoniae
REC_029	Beta-lactam	99.3739342284998	E. coli
REC_030	Fluoroquinolone	108.00296458372286	S. aureus
REC_031	Fluoroquinolone	64.96077374024208	S. aureus
REC_032	Tetracycline	65.33039497074476	E. coli
REC_033	Aminoglycoside	22.492077781633178	S. aureus
REC_034	Tetracycline	96.47944832944016	K. pneumoniae
REC_035	Aminoglycoside	14.528898149287569	K. pneumoniae
REC_036	Fluoroquinolone	102.31922504744696	P. aeruginosa
REC_037	Aminoglycoside	24.34628109100336	P. aeruginosa
REC_038	Beta-lactam	9.18428722653276	K. pneumoniae
REC_039	Tetracycline	44.92214643951672	P. aeruginosa
REC_040	Aminoglycoside	11.580882615269262	S. aureus
REC_041	Fluoroquinolone	32.622633558607525	P. aeruginosa
REC_042	Beta-lactam	103.52621633244975	P. aeruginosa
REC_043	Tetracycline	6.541226044435095	E. coli
REC_044	Aminoglycoside	125.70453020874163	K. pneumoniae
REC_045	Aminoglycoside	113.72053271111024	P. aeruginosa
REC_046	Beta-lactam	80.3653506655811	E. coli
REC_047	Beta-lactam	115.88598065815727	K. pneumoniae
REC_048	Tetracycline	79.45363298862745	E. coli
REC_049	Tetracycline	107.34890719548014	E. coli
REC_050	Fluoroquinolone	38.76228095772664	P. aeruginosa
REC_051	Aminoglycoside	32.115000018930616	S. aureus
REC_052	Beta-lactam	79.44604612915188	E. coli
REC_053	Tetracycline	108.95718143566545	S. aureus
REC_054	Tetracycline	71.42864790375206	P. aeruginosa
REC_055	Aminoglycoside	95.7371529627434	E. coli
REC_056	Beta-lactam	61.225035606543095	E. coli
REC_057	Fluoroquinolone	50.02496119144394	K. pneumoniae
REC_058	Aminoglycoside	25.76707956579599	E. coli
REC_059	Fluoroquinolone	88.19013013144648	P. aeruginosa
REC_060	Fluoroquinolone	82.79114099497677	S. aureus
REC_061	Beta-lactam	110.17279859722949	K. pneumoniae
REC_062	Fluoroquinolone	35.266564184874824	S. aureus
REC_063	Tetracycline	119.03524580565959	P. aeruginosa
REC_064	Tetracycline	14.142615806926134	P. aeruginosa
REC_065	Beta-lactam	104.29762245911854	E. coli
REC_066	Tetracycline	110.0678322818363	P. aeruginosa
REC_067	Beta-lactam	116.54989906815233	K. pneumoniae
REC_068	Beta-lactam	111.56516976708768	S. aureus
REC_069	Tetracycline	100.75588717927174	P. aeruginosa
REC_070	Aminoglycoside	91.93102076644003	E. coli
REC_071	Aminoglycoside	18.69860718807796	P. aeruginosa
REC_072	Aminoglycoside	26.044883426126816	K. pneumoniae
REC_073	Beta-lactam	23.121438959009108	E. coli
REC_074	Tetracycline	82.8153376433895	P. aeruginosa
REC_075	Aminoglycoside	68.91350898296076	S. aureus
REC_076	Aminoglycoside	126.15027698922837	S. aureus
REC_077	Tetracycline	80.43179459546259	K. pneumoniae
REC_078	Tetracycline	113.70203297204341	K. pneumoniae
REC_079	Beta-lactam	32.45661448160995	S. aureus
REC_080	Fluoroquinolone	100.4620944978766	E. coli
REC_081	Beta-lactam	21.62278728957439	E. coli
