species	amr_class	count
E. coli	Tetracycline	48
E. coli	Fluoroquinolone	69
E. coli	Beta-lactam	66
E. coli	Aminoglycoside	61
E. coli	Macrolide	43
K. pneumoniae	Tetracycline	32
K. pneumoniae	Fluoroquinolone	80
K. pneumoniae	Beta-lactam	78
K. pneumoniae	Aminoglycoside	26
K. pneumoniae	Macrolide	21
S. aureus	Tetracycline	29
S. aureus	Fluoroquinolone	34
S. aureus	Beta-lactam	35
S. aureus	Aminoglycoside	69
S. aureus	Macrolide	23
P. aeruginosa	Tetracycline	64
P. aeruginosa	Fluoroquinolone	63
P. aeruginosa	Beta-lactam	74
P. aeruginosa	Aminoglycoside	47
P. aeruginosa	Macrolide	16
E. faecalis	Tetracycline	29
E. faecalis	Fluoroquinolone	49
E. faecalis	Beta-lactam	58
E. faecalis	Aminoglycoside	29
E. faecalis	Macrolide	52
