species	mic_value
E. coli	0.1250
E. coli	0.2500
E. coli	0.2500
E. coli	0.5000
E. coli	0.5000
E. coli	0.5000
E. coli	1.0000
E. coli	1.0000
E. coli	2.0000
E. coli	2.0000
E. coli	4.0000
E. coli	8.0000
E. coli	8.0000
E. coli	16.0000
E. coli	32.0000
K. pneumoniae	1.0000
K. pneumoniae	1.0000
K. pneumoniae	2.0000
K. pneumoniae	2.0000
K. pneumoniae	4.0000
K. pneumoniae	4.0000
K. pneumoniae	8.0000
K. pneumoniae	8.0000
K. pneumoniae	16.0000
K. pneumoniae	16.0000
K. pneumoniae	32.0000
K. pneumoniae	32.0000
K. pneumoniae	64.0000
K. pneumoniae	64.0000
K. pneumoniae	128.0000
