species	mic_value
E. coli	0.125
E. coli	0.250
E. coli	0.500
E. coli	0.500
E. coli	1.000
E. coli	1.000
E. coli	2.000
E. coli	4.000
E. coli	4.000
E. coli	8.000
K. pneumoniae	0.500
K. pneumoniae	1.000
K. pneumoniae	2.000
K. pneumoniae	2.000
K. pneumoniae	4.000
K. pneumoniae	4.000
K. pneumoniae	8.000
K. pneumoniae	16.000
K. pneumoniae	32.000
K. pneumoniae	64.000
S. aureus	0.062
S. aureus	0.125
S. aureus	0.250
S. aureus	0.250
S. aureus	0.500
S. aureus	0.500
S. aureus	1.000
S. aureus	1.000
S. aureus	2.000
S. aureus	2.000
E. faecalis	1.000
E. faecalis	2.000
E. faecalis	4.000
E. faecalis	4.000
E. faecalis	8.000
E. faecalis	8.000
E. faecalis	16.000
E. faecalis	16.000
E. faecalis	32.000
E. faecalis	64.000
